area,step,z,time,old,new
9665.766893947542,1,25,4.969972553962199,15,240
9665.766893947542,2,25,9.473943555778026,9,232
9665.766893947542,3,25,13.43401482574001,9,232
9665.766893947542,4,25,17.63456731732368,9,229
9665.766893947542,5,25,20.987253092786798,9,226
9665.766893947542,6,25,24.248343511191884,9,231
9665.766893947542,7,25,27.328832743236394,9,232
9665.766893947542,8,25,30.535578583198568,10,226
9665.766893947542,9,25,32.52080630074206,9,232
9665.766893947542,10,25,34.59571505466591,9,219
9665.766893947542,11,25,37.54777941436478,9,232
9665.766893947542,12,25,39.345627430799915,9,229
9665.766893947542,13,25,41.17039669385546,9,231
9665.766893947542,14,25,42.69114984756931,9,231
9665.766893947542,15,25,44.028339107574304,9,226
9665.766893947542,16,25,46.08986948599797,10,226
9665.766893947542,17,25,47.55286211683453,9,231
9665.766893947542,18,25,49.20139624511369,9,231
9665.766893947542,19,25,50.446234786732,9,232
9665.766893947542,20,25,51.00608434986496,14,214
9665.766893947542,21,25,51.21169860245401,9,231
9665.766893947542,22,25,52.862960262020515,9,231
9665.766893947542,23,25,53.31870523685536,9,229
9665.766893947542,24,25,54.49546422482029,10,226
9665.766893947542,25,25,55.06920277905543,9,221
9665.766893947542,26,25,56.19184348768294,9,230
9665.766893947542,27,25,56.44351965494887,9,230
9665.766893947542,28,25,57.17937141687142,9,229
9665.766893947542,29,25,57.9687866503096,9,231
9665.766893947542,30,25,58.67881087095041,9,219
9665.766893947542,31,25,58.44153629157145,9,230
9665.766893947542,32,25,59.31663453180183,10,224
9665.766893947542,33,25,59.77596645436653,9,230
9665.766893947542,34,25,59.72237177310918,9,230
9665.766893947542,35,25,59.48822464009305,9,226
9665.766893947542,36,25,60.63045992701915,9,228
9665.766893947542,37,25,61.208290593794665,9,230
9665.766893947542,38,25,61.356790185165146,9,230
9665.766893947542,39,25,60.81944774146339,9,227
9665.766893947542,40,25,62.3901427416882,17,199
9665.766893947542,41,25,57.65397792433412,9,228
9665.766893947542,42,25,62.7090402013774,9,229
9665.766893947542,43,25,63.342956215037674,9,227
9665.766893947542,44,25,62.758258026276245,9,227
9665.766893947542,45,25,63.06099729590887,9,226
9665.766893947542,46,25,64.02943256841978,9,227
9665.766893947542,47,25,63.70208541124556,10,229
9665.766893947542,48,25,63.835612993922496,10,225
9665.766893947542,49,25,63.37202784825064,9,228
9665.766893947542,50,25,63.60375431168486,9,210
9665.766893947542,51,25,64.2635605399018,9,226
9665.766893947542,52,25,63.744653022839636,9,225
9665.766893947542,53,25,63.67416201722365,9,226
9665.766893947542,54,25,63.65271866628907,9,228
9665.766893947542,55,25,63.87602156464935,9,226
9665.766893947542,56,25,63.61831614149551,10,221
9665.766893947542,57,25,63.16094147474792,10,229
9665.766893947542,58,25,63.9247111229124,9,229
9665.766893947542,59,25,63.1463740711534,9,225
9665.766893947542,60,25,63.40162996992406,14,214
9665.766893947542,61,25,63.02250190694127,9,228
9665.766893947542,62,25,62.76887270079129,9,226
9665.766893947542,63,25,63.894326274804996,9,226
9665.766893947542,64,25,63.208296223197245,10,222
9665.766893947542,65,25,62.84684706986395,9,225
9665.766893947542,66,25,62.374256865150514,9,227
9665.766893947542,67,25,62.55753940030667,12,229
9665.766893947542,68,25,63.21512831119972,9,225
9665.766893947542,69,25,62.151559831080895,10,225
9665.766893947542,70,25,62.24621178138358,9,219
9665.766893947542,71,25,61.36046387714902,9,226
9665.766893947542,72,25,62.72837285620989,10,221
9665.766893947542,73,25,57.26014996586093,9,219
9665.766893947542,74,25,61.90985336915094,9,226
9665.766893947542,75,25,62.09624600661178,9,218
9665.766893947542,76,25,61.20574176311885,9,223
9665.766893947542,77,25,61.243660750216286,10,224
9665.766893947542,78,25,60.61174083137545,9,224
9665.766893947542,79,25,60.663649747772475,9,225
9665.766893947542,80,25,60.305463929213474,17,199
9665.766893947542,81,25,60.406035757276214,9,225
9665.766893947542,82,25,60.35261007854089,9,225
9665.766893947542,83,25,61.12104696125493,9,223
9665.766893947542,84,25,60.85592797897117,9,223
9665.766893947542,85,25,60.067086774559726,9,222
9665.766893947542,86,25,59.75703594335939,9,221
9665.766893947542,87,25,60.10845883100579,10,225
9665.766893947542,88,25,60.15474662770716,10,221
9665.766893947542,89,25,59.235890158746315,9,225
9665.766893947542,90,25,59.37041822415378,9,219
9665.766893947542,91,25,59.03768655789551,9,223
9665.766893947542,92,25,58.64406210182974,9,221
9665.766893947542,93,25,58.57585506220422,11,222
9665.766893947542,94,25,59.746552578065085,10,225
9665.766893947542,95,25,58.57714515546285,9,221
9665.766893947542,96,25,57.74905807081323,10,218
9665.766893947542,97,25,58.61993470792001,11,224
9665.766893947542,98,25,57.96262040129701,9,221
9665.766893947542,99,25,57.79372558312074,9,224
9665.766893947542,100,25,57.713314106862946,14,205
